id,type,category,front,reading,meaning_ko,meaning_en,example,example_reading,example_ko,level,tags,source,added_by,last_review,interval,ease,tier,order_in_cat
kata_0002,kana,katakana,イ,イ,이,i,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,2
kata_0003,kana,katakana,ウ,ウ,우,u,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,3
kata_0004,kana,katakana,エ,エ,에,e,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,4
kata_0005,kana,katakana,オ,オ,오,o,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,5
kata_0006,kana,katakana,カ,カ,카,ka,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,6
kata_0007,kana,katakana,キ,キ,키,ki,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,7
kata_0008,kana,katakana,ク,ク,쿠,ku,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,8
kata_0009,kana,katakana,ケ,ケ,케,ke,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,9
kata_0010,kana,katakana,コ,コ,코,ko,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,10
kata_0011,kana,katakana,サ,サ,사,sa,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,11
kata_0012,kana,katakana,シ,シ,시,shi,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,12
kata_0013,kana,katakana,ス,ス,스,su,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,13
kata_0014,kana,katakana,セ,セ,세,se,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,14
kata_0015,kana,katakana,ソ,ソ,소,so,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,15
kata_0016,kana,katakana,タ,タ,타,ta,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,16
kata_0017,kana,katakana,チ,チ,치,chi,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,17
kata_0018,kana,katakana,ツ,ツ,츠,tsu,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,18
kata_0019,kana,katakana,テ,テ,테,te,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,19
kata_0020,kana,katakana,ト,ト,토,to,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,20
kata_0021,kana,katakana,ナ,ナ,나,na,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,21
kata_0022,kana,katakana,ニ,ニ,니,ni,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,22
kata_0023,kana,katakana,ヌ,ヌ,누,nu,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,23
kata_0024,kana,katakana,ネ,ネ,네,ne,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,24
kata_0025,kana,katakana,ノ,ノ,노,no,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,25
kata_0026,kana,katakana,ハ,ハ,하,ha,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,26
kata_0027,kana,katakana,ヒ,ヒ,히,hi,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,27
kata_0028,kana,katakana,フ,フ,후,fu,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,28
kata_0029,kana,katakana,ヘ,ヘ,헤,he,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,29
kata_0030,kana,katakana,ホ,ホ,호,ho,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,30
kata_0031,kana,katakana,マ,マ,마,ma,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,31
kata_0032,kana,katakana,ミ,ミ,미,mi,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,32
kata_0033,kana,katakana,ム,ム,무,mu,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,33
kata_0034,kana,katakana,メ,メ,메,me,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,34
kata_0035,kana,katakana,モ,モ,모,mo,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,35
kata_0036,kana,katakana,ヤ,ヤ,야,ya,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,36
kata_0037,kana,katakana,ユ,ユ,유,yu,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,37
kata_0038,kana,katakana,ヨ,ヨ,요,yo,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,38
kata_0039,kana,katakana,ラ,ラ,라,ra,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,39
kata_0040,kana,katakana,リ,リ,리,ri,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,40
kata_0041,kana,katakana,ル,ル,루,ru,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,41
kata_0042,kana,katakana,レ,レ,레,re,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,42
kata_0043,kana,katakana,ロ,ロ,로,ro,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,43
kata_0044,kana,katakana,ワ,ワ,와,wa,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,44
kata_0045,kana,katakana,ヲ,ヲ,오,o,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,45
kata_0046,kana,katakana,ン,ン,응(ㄴ),n,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,46
kata_0047,kana,katakana,ガ,ガ,가,ga,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,47
kata_0048,kana,katakana,ギ,ギ,기,gi,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,48
kata_0049,kana,katakana,グ,グ,구,gu,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,49
kata_0050,kana,katakana,ゲ,ゲ,게,ge,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,50
kata_0051,kana,katakana,ゴ,ゴ,고,go,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,51
kata_0052,kana,katakana,ザ,ザ,자,za,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,52
kata_0053,kana,katakana,ジ,ジ,지,ji,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,53
kata_0054,kana,katakana,ズ,ズ,즈,zu,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,54
kata_0055,kana,katakana,ゼ,ゼ,제,ze,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,55
kata_0056,kana,katakana,ゾ,ゾ,조,zo,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,56
kata_0057,kana,katakana,ダ,ダ,다,da,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,57
kata_0058,kana,katakana,ヂ,ヂ,지,ji,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,58
kata_0059,kana,katakana,ヅ,ヅ,즈,zu,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,59
kata_0060,kana,katakana,デ,デ,데,de,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,60
kata_0061,kana,katakana,ド,ド,도,do,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,61
kata_0062,kana,katakana,バ,バ,바,ba,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,62
kata_0063,kana,katakana,ビ,ビ,비,bi,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,63
kata_0064,kana,katakana,ブ,ブ,부,bu,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,64
kata_0065,kana,katakana,ベ,ベ,베,be,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,65
kata_0066,kana,katakana,ボ,ボ,보,bo,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,66
kata_0067,kana,katakana,パ,パ,파,pa,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,67
kata_0068,kana,katakana,ピ,ピ,피,pi,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,68
kata_0069,kana,katakana,プ,プ,푸,pu,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,69
kata_0070,kana,katakana,ペ,ペ,페,pe,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,70
kata_0071,kana,katakana,ポ,ポ,포,po,,,,基礎,"濁音・半濁音,カタカナ",기본제공,system,,,,free,71
kata_0072,kana,katakana,キャ,キャ,캬,kya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,72
kata_0073,kana,katakana,キュ,キュ,큐,kyu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,73
kata_0074,kana,katakana,キョ,キョ,쿄,kyo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,74
kata_0075,kana,katakana,ギャ,ギャ,갸,gya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,75
kata_0076,kana,katakana,ギュ,ギュ,규,gyu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,76
kata_0077,kana,katakana,ギョ,ギョ,교,gyo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,77
kata_0078,kana,katakana,シャ,シャ,샤,sha,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,78
kata_0079,kana,katakana,シュ,シュ,슈,shu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,79
kata_0080,kana,katakana,ショ,ショ,쇼,sho,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,80
kata_0081,kana,katakana,ジャ,ジャ,자,ja,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,81
kata_0082,kana,katakana,ジュ,ジュ,주,ju,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,82
kata_0083,kana,katakana,ジョ,ジョ,조,jo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,83
kata_0084,kana,katakana,チャ,チャ,차,cha,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,84
kata_0085,kana,katakana,チュ,チュ,추,chu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,85
kata_0086,kana,katakana,チョ,チョ,쵸,cho,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,86
kata_0087,kana,katakana,ニャ,ニャ,냐,nya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,87
kata_0088,kana,katakana,ニュ,ニュ,뉴,nyu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,88
kata_0089,kana,katakana,ニョ,ニョ,뇨,nyo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,89
kata_0090,kana,katakana,ヒャ,ヒャ,햐,hya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,90
kata_0091,kana,katakana,ヒュ,ヒュ,휴,hyu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,91
kata_0092,kana,katakana,ヒョ,ヒョ,효,hyo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,92
kata_0093,kana,katakana,ビャ,ビャ,뱌,bya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,93
kata_0094,kana,katakana,ビュ,ビュ,뷰,byu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,94
kata_0095,kana,katakana,ビョ,ビョ,뵤,byo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,95
kata_0096,kana,katakana,ピャ,ピャ,퍄,pya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,96
kata_0097,kana,katakana,ピュ,ピュ,퓨,pyu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,97
kata_0098,kana,katakana,ピョ,ピョ,표,pyo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,98
kata_0099,kana,katakana,ミャ,ミャ,먀,mya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,99
kata_0100,kana,katakana,ミュ,ミュ,뮤,myu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,100
kata_0101,kana,katakana,ミョ,ミョ,묘,myo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,101
kata_0102,kana,katakana,リャ,リャ,랴,rya,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,102
kata_0103,kana,katakana,リュ,リュ,류,ryu,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,103
kata_0104,kana,katakana,リョ,リョ,료,ryo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,104
kata_0105,kana,katakana,ファ,ファ,화,fa,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,105
kata_0106,kana,katakana,フィ,フィ,휘,fi,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,106
kata_0107,kana,katakana,フェ,フェ,훼,fe,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,107
kata_0108,kana,katakana,フォ,フォ,훠,fo,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,108
kata_0109,kana,katakana,ティ,ティ,티,ti,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,109
kata_0110,kana,katakana,ディ,ディ,디,di,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,110
kata_0111,kana,katakana,ジェ,ジェ,제,je,,,,基礎,"拗音・外来音,カタカナ",기본제공,system,,,,free,111
n5_0001,kanji,N5,日,にち/ひ,날·해,,日曜日,にちようび,일요일,N5,"JLPT,N5",기본제공,system,,,,free,1
n5_0002,kanji,N5,一,いち,하나,,一人,ひとり,한 사람,N5,"JLPT,N5",기본제공,system,,,,free,2
n5_0003,kanji,N5,二,に,둘,,二つ,ふたつ,두 개,N5,"JLPT,N5",기본제공,system,,,,free,3
n5_0004,kanji,N5,三,さん,셋,,三日,みっか,3일,N5,"JLPT,N5",기본제공,system,,,,free,4
n5_0005,kanji,N5,四,し/よん,넷,,四月,しがつ,4월,N5,"JLPT,N5",기본제공,system,,,,free,5
n5_0006,kanji,N5,五,ご,다섯,,五時,ごじ,5시,N5,"JLPT,N5",기본제공,system,,,,free,6
n5_0007,kanji,N5,六,ろく,여섯,,六日,むいか,6일,N5,"JLPT,N5",기본제공,system,,,,free,7
n5_0008,kanji,N5,七,しち/なな,일곱,,七月,しちがつ,7월,N5,"JLPT,N5",기본제공,system,,,,free,8
n5_0009,kanji,N5,八,はち,여덟,,八日,ようか,8일,N5,"JLPT,N5",기본제공,system,,,,free,9
n5_0010,kanji,N5,九,きゅう/く,아홉,,九月,くがつ,9월,N5,"JLPT,N5",기본제공,system,,,,free,10
n5_0011,kanji,N5,十,じゅう,열,,十分,じゅっぷん,10분,N5,"JLPT,N5",기본제공,system,,,,free,11
n5_0012,kanji,N5,百,ひゃく,백,,百円,ひゃくえん,100엔,N5,"JLPT,N5",기본제공,system,,,,free,12
n5_0013,kanji,N5,千,せん,천,,千円,せんえん,1000엔,N5,"JLPT,N5",기본제공,system,,,,free,13
n5_0014,kanji,N5,万,まん,만,,一万,いちまん,1만,N5,"JLPT,N5",기본제공,system,,,,free,14
n5_0015,kanji,N5,円,えん,엔·둥글다,,百円,ひゃくえん,100엔,N5,"JLPT,N5",기본제공,system,,,,free,15
n5_0016,kanji,N5,時,じ,때·시간,,時間,じかん,시간,N5,"JLPT,N5",기본제공,system,,,,free,16
n5_0017,kanji,N5,人,ひと,사람,,日本人,にほんじん,일본인,N5,"JLPT,N5",기본제공,system,,,,free,17
n5_0018,kanji,N5,本,ほん,책·근본,,日本,にほん,일본,N5,"JLPT,N5",기본제공,system,,,,free,18
n5_0019,kanji,N5,中,なか,가운데·안,,中国,ちゅうごく,중국,N5,"JLPT,N5",기본제공,system,,,,free,19
n5_0020,kanji,N5,大,おお,크다,,大学,だいがく,대학,N5,"JLPT,N5",기본제공,system,,,,free,20
n5_0021,kanji,N5,小,ちい,작다,,小学校,しょうがっこう,초등학교,N5,"JLPT,N5",기본제공,system,,,,free,21
n5_0022,kanji,N5,上,うえ,위,,上手,じょうず,능숙함,N5,"JLPT,N5",기본제공,system,,,,free,22
n5_0023,kanji,N5,下,した,아래,,下手,へた,서투름,N5,"JLPT,N5",기본제공,system,,,,free,23
n5_0024,kanji,N5,左,ひだり,왼쪽,,左右,さゆう,좌우,N5,"JLPT,N5",기본제공,system,,,,free,24
n5_0025,kanji,N5,右,みぎ,오른쪽,,右手,みぎて,오른손,N5,"JLPT,N5",기본제공,system,,,,free,25
n5_0026,kanji,N5,前,まえ,앞,,前日,ぜんじつ,전날,N5,"JLPT,N5",기본제공,system,,,,free,26
n5_0027,kanji,N5,後,うし/あと,뒤·후,,午後,ごご,오후,N5,"JLPT,N5",기본제공,system,,,,free,27
n5_0028,kanji,N5,東,ひがし,동쪽,,東京,とうきょう,도쿄,N5,"JLPT,N5",기본제공,system,,,,free,28
n5_0029,kanji,N5,西,にし,서쪽,,西口,にしぐち,서쪽 출구,N5,"JLPT,N5",기본제공,system,,,,free,29
n5_0030,kanji,N5,南,みなみ,남쪽,,南口,みなみぐち,남쪽 출구,N5,"JLPT,N5",기본제공,system,,,,free,30
n5_0031,kanji,N5,北,きた,북쪽,,北口,きたぐち,북쪽 출구,N5,"JLPT,N5",기본제공,system,,,,free,31
n5_0032,kanji,N5,外,そと,밖,,外国,がいこく,외국,N5,"JLPT,N5",기본제공,system,,,,free,32
n5_0033,kanji,N5,名,な,이름,,名前,なまえ,이름,N5,"JLPT,N5",기본제공,system,,,,free,33
n5_0034,kanji,N5,女,おんな,여자,,女性,じょせい,여성,N5,"JLPT,N5",기본제공,system,,,,free,34
n5_0035,kanji,N5,男,おとこ,남자,,男性,だんせい,남성,N5,"JLPT,N5",기본제공,system,,,,free,35
n5_0036,kanji,N5,子,こ,아이,,子供,こども,아이,N5,"JLPT,N5",기본제공,system,,,,free,36
n5_0037,kanji,N5,学,がく,배우다,,学生,がくせい,학생,N5,"JLPT,N5",기본제공,system,,,,free,37
n5_0038,kanji,N5,校,こう,학교,,学校,がっこう,학교,N5,"JLPT,N5",기본제공,system,,,,free,38
n5_0039,kanji,N5,先,さき,먼저,,先生,せんせい,선생님,N5,"JLPT,N5",기본제공,system,,,,free,39
n5_0040,kanji,N5,生,せい/なま,살다·나다,,学生,がくせい,학생,N5,"JLPT,N5",기본제공,system,,,,free,40
n5_0041,kanji,N5,年,とし,해·나이,,来年,らいねん,내년,N5,"JLPT,N5",기본제공,system,,,,free,41
n5_0042,kanji,N5,月,つき,달,,月曜日,げつようび,월요일,N5,"JLPT,N5",기본제공,system,,,,free,42
n5_0043,kanji,N5,火,ひ,불,,火曜日,かようび,화요일,N5,"JLPT,N5",기본제공,system,,,,free,43
n5_0044,kanji,N5,水,みず,물,,水曜日,すいようび,수요일,N5,"JLPT,N5",기본제공,system,,,,free,44
n5_0045,kanji,N5,木,き,나무,,木曜日,もくようび,목요일,N5,"JLPT,N5",기본제공,system,,,,free,45
n5_0046,kanji,N5,金,かね,쇠·돈,,金曜日,きんようび,금요일,N5,"JLPT,N5",기본제공,system,,,,free,46
n5_0047,kanji,N5,土,つち,흙,,土曜日,どようび,토요일,N5,"JLPT,N5",기본제공,system,,,,free,47
n5_0048,kanji,N5,曜,よう,요일,,何曜日,なんようび,무슨 요일,N5,"JLPT,N5",기본제공,system,,,,free,48
n5_0049,kanji,N5,何,なに/なん,무엇,,何時,なんじ,몇 시,N5,"JLPT,N5",기본제공,system,,,,free,49
n5_0050,kanji,N5,今,いま,지금,,今日,きょう,오늘,N5,"JLPT,N5",기본제공,system,,,,free,50
n5_0051,kanji,N5,行,い/おこな,가다·행하다,,旅行,りょこう,여행,N5,"JLPT,N5",기본제공,system,,,,free,51
n5_0052,kanji,N5,来,く/らい,오다,,来週,らいしゅう,다음 주,N5,"JLPT,N5",기본제공,system,,,,free,52
n5_0053,kanji,N5,帰,かえ,돌아가다,,帰国,きこく,귀국,N5,"JLPT,N5",기본제공,system,,,,free,53
n5_0054,kanji,N5,食,た/しょく,먹다,,食堂,しょくどう,식당,N5,"JLPT,N5",기본제공,system,,,,free,54
n5_0055,kanji,N5,飲,の,마시다,,飲食,いんしょく,음식,N5,"JLPT,N5",기본제공,system,,,,free,55
n5_0056,kanji,N5,見,み,보다,,見学,けんがく,견학,N5,"JLPT,N5",기본제공,system,,,,free,56
n5_0057,kanji,N5,聞,き,듣다·묻다,,新聞,しんぶん,신문,N5,"JLPT,N5",기본제공,system,,,,free,57
n5_0058,kanji,N5,読,よ,읽다,,読書,どくしょ,독서,N5,"JLPT,N5",기본제공,system,,,,free,58
n5_0059,kanji,N5,書,か,쓰다,,書店,しょてん,서점,N5,"JLPT,N5",기본제공,system,,,,free,59
n5_0060,kanji,N5,話,はな/はなし,말하다,,電話,でんわ,전화,N5,"JLPT,N5",기본제공,system,,,,free,60
n5_0061,kanji,N5,買,か,사다,,買い物,かいもの,쇼핑,N5,"JLPT,N5",기본제공,system,,,,free,61
n5_0062,kanji,N5,出,で/だ,나가다·내다,,出口,でぐち,출구,N5,"JLPT,N5",기본제공,system,,,,free,62
n5_0063,kanji,N5,入,はい/い,들어가다,,入口,いりぐち,입구,N5,"JLPT,N5",기본제공,system,,,,free,63
n5_0064,kanji,N5,休,やす,쉬다,,休日,きゅうじつ,휴일,N5,"JLPT,N5",기본제공,system,,,,free,64
n5_0065,kanji,N5,立,た,서다,,国立,こくりつ,국립,N5,"JLPT,N5",기본제공,system,,,,free,65
n5_0066,kanji,N5,会,あ/かい,만나다·모임,,会社,かいしゃ,회사,N5,"JLPT,N5",기본제공,system,,,,free,66
n5_0067,kanji,N5,社,しゃ,회사·모임,,会社,かいしゃ,회사,N5,"JLPT,N5",기본제공,system,,,,free,67
n5_0068,kanji,N5,国,くに,나라,,外国,がいこく,외국,N5,"JLPT,N5",기본제공,system,,,,free,68
n5_0069,kanji,N5,語,ご,말·언어,,日本語,にほんご,일본어,N5,"JLPT,N5",기본제공,system,,,,free,69
n5_0070,kanji,N5,電,でん,전기,,電車,でんしゃ,전철,N5,"JLPT,N5",기본제공,system,,,,free,70
n5_0071,kanji,N5,車,くるま,차·수레,,電車,でんしゃ,전철,N5,"JLPT,N5",기본제공,system,,,,free,71
n5_0072,kanji,N5,駅,えき,역,,駅前,えきまえ,역 앞,N5,"JLPT,N5",기본제공,system,,,,free,72
n5_0073,kanji,N5,道,みち,길,,道路,どうろ,도로,N5,"JLPT,N5",기본제공,system,,,,free,73
